Timestamp,VALCCG:D10_L02:PRES,BM_DCCT:LCUR
2024/10/21 08:59:30.461,3.449969661489587e-7,N/A
2024/10/21 08:59:31.136,N/A,1497.0884
2024/10/21 08:59:31.462,3.467429448962249e-7,N/A
2024/10/21 08:59:32.136,N/A,1494.8339999999998
2024/10/21 08:59:32.461,3.461700810806793e-7,N/A
2024/10/21 08:59:33.136,N/A,1493.5379999999998
2024/10/21 08:59:33.461,3.4725900493366953e-7,N/A
2024/10/21 08:59:34.136,N/A,1497.2339
2024/10/21 08:59:34.461,3.455080713932698e-7,N/A
2024/10/21 08:59:35.136,N/A,1500.0448999999999
2024/10/21 08:59:35.461,3.4609944747583687e-7,N/A
2024/10/21 08:59:36.136,N/A,-0.043400000000000105
2024/10/21 08:59:36.461,3.443325034435535e-7,N/A
2024/10/21 08:59:37.136,N/A,-0.021200000000000108
2024/10/21 08:59:37.461,5.256107198271486e-7,N/A
2024/10/21 08:59:38.136,N/A,-0.007099999999999995
2024/10/21 08:59:38.461,0.0000024938160385603094,N/A
2024/10/21 08:59:39.136,N/A,0
2024/10/21 08:59:39.461,0.000006052657140606671,N/A
2024/10/21 08:59:40.136,N/A,-0.008099999999999996
2024/10/21 08:59:40.461,0.000007124919655661165,N/A
2024/10/21 08:59:41.136,N/A,-0.005099999999999993
2024/10/21 08:59:41.462,0.000005726131989484155,N/A
2024/10/21 08:59:42.136,N/A,0.0009999999999998899
2024/10/21 08:59:42.461,0.0000038096617836321916,N/A
2024/10/21 08:59:43.136,N/A,0.0030000000000000027
2024/10/21 08:59:43.461,0.0000023625656525510716,N/A
2024/10/21 08:59:44.136,N/A,-0.0040000000000000036
2024/10/21 08:59:44.461,0.0000014593537892580843,N/A
2024/10/21 08:59:45.136,N/A,0.0009999999999998899
2024/10/21 08:59:45.461,9.400638435393836e-7,N/A
2024/10/21 08:59:46.136,N/A,0.008099999999999996
2024/10/21 08:59:46.462,6.550744824981082e-7,N/A
2024/10/21 08:59:47.136,N/A,-0.0010000000000000009
